Date,Close,Volume,Volume-1d,Volume-2d,Volume-3d,Close-1d,Close-2d,Close-3d,Close-tomorrow
2022-03-01,864.3699951171875,24922300,,,,,,,879.8900146484375
2022-03-02,879.8900146484375,24881100,24922300.0,,,864.3699951171875,,,839.2899780273438
2022-03-03,839.2899780273438,20541200,24881100.0,24922300.0,,879.8900146484375,864.3699951171875,,838.2899780273438
2022-03-04,838.2899780273438,22333200,20541200.0,24881100.0,24922300.0,839.2899780273438,879.8900146484375,864.3699951171875,804.5800170898438
2022-03-07,804.5800170898438,24164700,22333200.0,20541200.0,24881100.0,838.2899780273438,839.2899780273438,879.8900146484375,824.4000244140625
2022-03-08,824.4000244140625,26799700,24164700.0,22333200.0,20541200.0,804.5800170898438,838.2899780273438,839.2899780273438,858.969970703125
2022-03-09,858.969970703125,19728000,26799700.0,24164700.0,22333200.0,824.4000244140625,804.5800170898438,838.2899780273438,838.2999877929688
2022-03-10,838.2999877929688,19549500,19728000.0,26799700.0,24164700.0,858.969970703125,824.4000244140625,804.5800170898438,795.3499755859375
2022-03-11,795.3499755859375,22272800,19549500.0,19728000.0,26799700.0,838.2999877929688,858.969970703125,824.4000244140625,766.3699951171875
2022-03-14,766.3699951171875,23717400,22272800.0,19549500.0,19728000.0,795.3499755859375,838.2999877929688,858.969970703125,801.8900146484375
2022-03-15,801.8900146484375,22280400,23717400.0,22272800.0,19549500.0,766.3699951171875,795.3499755859375,838.2999877929688,840.22998046875
2022-03-16,840.22998046875,28009600,22280400.0,23717400.0,22272800.0,801.8900146484375,766.3699951171875,795.3499755859375,871.5999755859375
2022-03-17,871.5999755859375,22194300,28009600.0,22280400.0,23717400.0,840.22998046875,801.8900146484375,766.3699951171875,905.3900146484375
2022-03-18,905.3900146484375,33408500,22194300.0,28009600.0,22280400.0,871.5999755859375,840.22998046875,801.8900146484375,921.1599731445312
2022-03-21,921.1599731445312,27327200,33408500.0,22194300.0,28009600.0,905.3900146484375,871.5999755859375,840.22998046875,993.97998046875
2022-03-22,993.97998046875,35289500,27327200.0,33408500.0,22194300.0,921.1599731445312,905.3900146484375,871.5999755859375,999.1099853515625
2022-03-23,999.1099853515625,40225400,35289500.0,27327200.0,33408500.0,993.97998046875,921.1599731445312,905.3900146484375,1013.9199829101562
2022-03-24,1013.9199829101562,22973600,40225400.0,35289500.0,27327200.0,999.1099853515625,993.97998046875,921.1599731445312,1010.6400146484375
2022-03-25,1010.6400146484375,20677200,22973600.0,40225400.0,35289500.0,1013.9199829101562,999.1099853515625,993.97998046875,1091.8399658203125
2022-03-28,1091.8399658203125,34168700,20677200.0,22973600.0,40225400.0,1010.6400146484375,1013.9199829101562,999.1099853515625,1099.5699462890625
2022-03-29,1099.5699462890625,24538300,34168700.0,20677200.0,22973600.0,1091.8399658203125,1010.6400146484375,1013.9199829101562,1093.989990234375
2022-03-30,1093.989990234375,19955000,24538300.0,34168700.0,20677200.0,1099.5699462890625,1091.8399658203125,1010.6400146484375,1077.5999755859375
2022-03-31,1077.5999755859375,16330900,19955000.0,24538300.0,34168700.0,1093.989990234375,1099.5699462890625,1091.8399658203125,1084.5899658203125
2022-04-01,1084.5899658203125,18012900,16330900.0,19955000.0,24538300.0,1077.5999755859375,1093.989990234375,1099.5699462890625,1145.449951171875
2022-04-04,1145.449951171875,27298420,18012900.0,16330900.0,19955000.0,1084.5899658203125,1077.5999755859375,1093.989990234375,
